folder_name,area,width,mean_building_height,mean_building_height_side1,mean_building_height_side2,lh_ratio,direction,mrt_mean,mrt_min,mrt_max,dir_sin,dir_cos
width45_deg030_h20to25,4500.000000000001,45.0,22.5,20,25,2.0,30,33.82,28.74,37.11,0.49999999999999994,0.8660254037844387
width45_deg030_h25to25,4500.000000000001,45.0,25.0,25,25,1.8,30,33.56,28.68,37.12,0.49999999999999994,0.8660254037844387
width45_deg030_h5to10,4500.000000000001,45.0,7.5,5,10,6.0,30,35.13,29.45,37.02,0.49999999999999994,0.8660254037844387
width45_deg030_h5to15,4500.000000000001,45.0,10.0,5,15,4.5,30,34.96,29.47,37.02,0.49999999999999994,0.8660254037844387
width45_deg030_h5to20,4500.000000000001,45.0,12.5,5,20,3.6,30,34.83,29.48,37.07,0.49999999999999994,0.8660254037844387
width45_deg030_h5to25,4500.000000000001,45.0,15.0,5,25,3.0,30,34.74,28.85,37.07,0.49999999999999994,0.8660254037844387
width45_deg030_h5to5,4500.000000000001,45.0,5.0,5,5,9.0,30,35.4,29.77,36.92,0.49999999999999994,0.8660254037844387
width45_deg060_h10to10,4500.000000000002,45.0,10.0,10,10,4.5,60,33.56,30.17,36.33,0.8660254037844386,0.5000000000000001
width45_deg060_h10to15,4500.000000000002,45.0,12.5,10,15,3.6,60,33.12,30.05,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h10to20,4500.000000000002,45.0,15.0,10,20,3.0,60,32.87,29.56,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h10to25,4500.000000000002,45.0,17.5,10,25,2.5714285714285716,60,32.64,29.55,36.35,0.8660254037844386,0.5000000000000001
width45_deg060_h15to15,4500.000000000002,45.0,15.0,15,15,3.0,60,32.6,29.93,36.33,0.8660254037844386,0.5000000000000001
width45_deg060_h15to20,4500.000000000002,45.0,17.5,15,20,2.5714285714285716,60,32.36,29.53,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h15to25,4500.000000000002,45.0,20.0,15,25,2.25,60,32.13,29.52,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h20to20,4500.000000000002,45.0,20.0,20,20,2.25,60,31.89,29.45,36.33,0.8660254037844386,0.5000000000000001
width45_deg060_h20to25,4500.000000000002,45.0,22.5,20,25,2.0,60,31.67,29.43,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h25to25,4500.000000000002,45.0,25.0,25,25,1.8,60,31.3,29.01,36.33,0.8660254037844386,0.5000000000000001
width45_deg060_h5to10,4500.000000000002,45.0,7.5,5,10,6.0,60,34.25,30.2,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h5to15,4500.000000000002,45.0,10.0,5,15,4.5,60,33.81,30.18,36.34,0.8660254037844386,0.5000000000000001
width45_deg060_h5to20,4500.000000000002,45.0,12.5,5,20,3.6,60,33.56,29.58,36.35,0.8660254037844386,0.5000000000000001
width45_deg060_h5to25,4500.000000000002,45.0,15.0,5,25,3.0,60,33.32,29.57,36.4,0.8660254037844386,0.5000000000000001
width45_deg060_h5to5,4500.000000000002,45.0,5.0,5,5,9.0,60,34.77,30.51,36.33,0.8660254037844386,0.5000000000000001
width45_deg090_h10to10,4500.0,45.0,10.0,10,10,4.5,90,33.11,31.24,36.33,1.0,6.123233995736766e-17
width45_deg090_h10to15,4500.0,45.0,12.5,10,15,3.6,90,32.52,30.92,36.33,1.0,6.123233995736766e-17
width45_deg090_h10to20,4500.0,45.0,15.0,10,20,3.0,90,32.14,30.62,36.33,1.0,6.123233995736766e-17
width45_deg090_h10to25,4500.0,45.0,17.5,10,25,2.5714285714285716,90,31.76,30.05,36.34,1.0,6.123233995736766e-17
width45_deg090_h15to15,4500.0,45.0,15.0,15,15,3.0,90,31.92,30.45,36.33,1.0,6.123233995736766e-17
width45_deg090_h15to20,4500.0,45.0,17.5,15,20,2.5714285714285716,90,31.55,30.39,36.33,1.0,6.123233995736766e-17
width45_deg090_h15to25,4500.0,45.0,20.0,15,25,2.25,90,31.18,29.59,36.33,1.0,6.123233995736766e-17
width45_deg090_h20to20,4500.0,45.0,20.0,20,20,2.25,90,31.16,30.14,36.33,1.0,6.123233995736766e-17
width45_deg090_h20to25,4500.0,45.0,22.5,20,25,2.0,90,30.81,29.72,36.33,1.0,6.123233995736766e-17
width45_deg090_h25to25,4500.0,45.0,25.0,25,25,1.8,90,30.48,29.08,36.33,1.0,6.123233995736766e-17
width45_deg090_h5to10,4500.0,45.0,7.5,5,10,6.0,90,33.86,31.67,36.33,1.0,6.123233995736766e-17
width45_deg090_h5to15,4500.0,45.0,10.0,5,15,4.5,90,33.27,31.32,36.33,1.0,6.123233995736766e-17
width45_deg090_h5to20,4500.0,45.0,12.5,5,20,3.6,90,32.89,31.04,36.34,1.0,6.123233995736766e-17
width45_deg090_h5to25,4500.0,45.0,15.0,5,25,3.0,90,32.49,30.41,36.34,1.0,6.123233995736766e-17
width45_deg090_h5to5,4500.0,45.0,5.0,5,5,9.0,90,34.53,31.96,36.33,1.0,6.123233995736766e-17
width45_deg120_h10to10,4500.0,45.0,10.0,10,10,4.5,120,33.48,30.41,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h10to15,4500.0,45.0,12.5,10,15,3.6,120,32.98,30.31,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h10to20,4500.0,45.0,15.0,10,20,3.0,120,32.52,30.28,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h10to25,4500.0,45.0,17.5,10,25,2.5714285714285716,120,32.16,30.23,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h15to15,4500.0,45.0,15.0,15,15,3.0,120,32.5,29.98,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h15to20,4500.0,45.0,17.5,15,20,2.5714285714285716,120,32.05,29.91,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h15to25,4500.0,45.0,20.0,15,25,2.25,120,31.7,29.85,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h20to20,4500.0,45.0,20.0,20,20,2.25,120,31.79,29.54,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h20to25,4500.0,45.0,22.5,20,25,2.0,120,31.45,29.49,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h25to25,4500.0,45.0,25.0,25,25,1.8,120,31.26,29.46,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h5to10,4500.0,45.0,7.5,5,10,6.0,120,34.08,30.94,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h5to15,4500.0,45.0,10.0,5,15,4.5,120,33.57,30.84,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h5to20,4500.0,45.0,12.5,5,20,3.6,120,33.11,30.82,36.33,0.8660254037844387,-0.4999999999999998
width45_deg120_h5to25,4500.0,45.0,15.0,5,25,3.0,120,32.74,30.77,36.34,0.8660254037844387,-0.4999999999999998
width45_deg120_h5to5,4500.0,45.0,5.0,5,5,9.0,120,34.69,31.0,36.33,0.8660254037844387,-0.4999999999999998
width45_deg150_h10to10,4500.0,45.0,10.0,10,10,4.5,150,34.61,29.59,36.93,0.49999999999999994,-0.8660254037844387
width45_deg150_h10to15,4500.0,45.0,12.5,10,15,3.6,150,34.31,29.49,36.94,0.49999999999999994,-0.8660254037844387
width45_deg150_h10to20,4500.0,45.0,15.0,10,20,3.0,150,34.03,29.37,36.95,0.49999999999999994,-0.8660254037844387
width45_deg150_h10to25,4500.0,45.0,17.5,10,25,2.5714285714285716,150,33.75,29.28,36.96,0.49999999999999994,-0.8660254037844387
width45_deg150_h15to15,4500.0,45.0,15.0,15,15,3.0,150,34.13,29.51,36.99,0.49999999999999994,-0.8660254037844387
width45_deg150_h15to20,4500.0,45.0,17.5,15,20,2.5714285714285716,150,33.85,29.4,37.01,0.49999999999999994,-0.8660254037844387
width45_deg150_h15to25,4500.0,45.0,20.0,15,25,2.25,150,33.58,29.3,37.01,0.49999999999999994,-0.8660254037844387
width45_deg150_h20to20,4500.0,45.0,20.0,20,20,2.25,150,33.73,29.43,37.08,0.49999999999999994,-0.8660254037844387
width45_deg150_h20to25,4500.0,45.0,22.5,20,25,2.0,150,33.47,29.34,37.08,0.49999999999999994,-0.8660254037844387
width45_deg150_h25to25,4500.0,45.0,25.0,25,25,1.8,150,33.38,28.63,37.09,0.49999999999999994,-0.8660254037844387
width45_deg150_h5to10,4500.0,45.0,7.5,5,10,6.0,150,34.97,30.12,36.78,0.49999999999999994,-0.8660254037844387
width45_deg150_h5to15,4500.0,45.0,10.0,5,15,4.5,150,34.68,30.01,36.79,0.49999999999999994,-0.8660254037844387
width45_deg150_h5to20,4500.0,45.0,12.5,5,20,3.6,150,34.39,29.9,36.8,0.49999999999999994,-0.8660254037844387
width45_deg150_h5to25,4500.0,45.0,15.0,5,25,3.0,150,34.1,29.81,36.8,0.49999999999999994,-0.8660254037844387
width45_deg150_h5to5,4500.0,45.0,5.0,5,5,9.0,150,35.31,30.27,36.77,0.49999999999999994,-0.8660254037844387
width45_deg180_h10to10,4500.0,45.0,10.0,10,10,4.5,180,35.53,30.21,36.41,1.2246467991473532e-16,-1.0
width45_deg180_h10to15,4500.0,45.0,12.5,10,15,3.6,180,35.43,30.19,36.49,1.2246467991473532e-16,-1.0
width45_deg180_h10to20,4500.0,45.0,15.0,10,20,3.0,180,35.25,30.08,36.47,1.2246467991473532e-16,-1.0
width45_deg180_h10to25,4500.0,45.0,17.5,10,25,2.5714285714285716,180,35.1,29.99,36.51,1.2246467991473532e-16,-1.0
width45_deg180_h15to15,4500.0,45.0,15.0,15,15,3.0,180,35.41,30.23,36.57,1.2246467991473532e-16,-1.0
width45_deg180_h15to20,4500.0,45.0,17.5,15,20,2.5714285714285716,180,35.24,30.12,36.54,1.2246467991473532e-16,-1.0
width45_deg180_h15to25,4500.0,45.0,20.0,15,25,2.25,180,35.1,30.04,36.6,1.2246467991473532e-16,-1.0
width45_deg180_h20to20,4500.0,45.0,20.0,20,20,2.25,180,35.29,30.17,36.58,1.2246467991473532e-16,-1.0
width45_deg180_h20to25,4500.0,45.0,22.5,20,25,2.0,180,35.16,30.1,36.64,1.2246467991473532e-16,-1.0
width45_deg180_h25to25,4500.0,45.0,25.0,25,25,1.8,180,35.23,30.11,36.74,1.2246467991473532e-16,-1.0
width45_deg180_h5to10,4500.0,45.0,7.5,5,10,6.0,180,35.65,30.19,36.4,1.2246467991473532e-16,-1.0
width45_deg180_h5to15,4500.0,45.0,10.0,5,15,4.5,180,35.55,30.17,36.49,1.2246467991473532e-16,-1.0
width45_deg180_h5to20,4500.0,45.0,12.5,5,20,3.6,180,35.37,30.05,36.46,1.2246467991473532e-16,-1.0
width45_deg180_h5to25,4500.0,45.0,15.0,5,25,3.0,180,35.22,29.97,36.51,1.2246467991473532e-16,-1.0
width45_deg180_h5to5,4500.0,45.0,5.0,5,5,9.0,180,35.83,30.2,36.35,1.2246467991473532e-16,-1.0
width50_deg000_h10to10,5000.0,50.0,10.0,10,10,5.0,0,35.59,30.21,36.41,0.0,1.0
